iter	Logloss
0	0.339143589
1	0.2547736628
2	0.2300348191
3	0.2153054061
4	0.2065073404
5	0.2005535893
6	0.1948267789
7	0.1904959962
8	0.1871153272
9	0.1834268611
10	0.1800020566
11	0.1774618579
12	0.1750823961
13	0.1728146495
14	0.1705903617
15	0.1677612238
16	0.1651750155
17	0.1637581211
18	0.1623181113
19	0.1604497594
20	0.1591761194
21	0.157988758
22	0.156545253
23	0.1554153449
24	0.1540408737
25	0.1521514259
26	0.1508651277
27	0.150070338
28	0.1490196298
29	0.1480690956
30	0.1469782157
31	0.1459744335
32	0.1452330065
33	0.144105625
34	0.1429781557
35	0.1423642651
36	0.1415505913
37	0.1409339617
38	0.1401687334
39	0.139530715
40	0.1389176664
41	0.1380447004
42	0.1369930477
43	0.1365395234
44	0.1361316794
45	0.1355046285
46	0.1348626093
47	0.1342958002
48	0.1339138628
49	0.1331661212
50	0.1328277336
51	0.1320578188
52	0.1315262128
53	0.1311907388
54	0.1309123528
55	0.1302118663
56	0.129897116
57	0.1291101843
58	0.1286863089
59	0.1280493312
60	0.1275631668
61	0.1272609113
62	0.1269888964
63	0.1267496713
64	0.1264727756
65	0.1256961707
66	0.1254112498
67	0.1251842973
68	0.1244017497
69	0.1239721955
70	0.1237420107
71	0.1235212113
72	0.1230046446
73	0.1227745698
74	0.1221715298
75	0.1218666522
76	0.1213512381
77	0.1208430413
78	0.1204731672
79	0.1202391786
80	0.1198194131
81	0.1190516607
82	0.1186023732
83	0.117986371
84	0.1175908893
85	0.1172181306
86	0.1170216104
87	0.1165819192
88	0.1163731078
89	0.116153145
90	0.1159594266
91	0.1154782707
92	0.1151722036
93	0.1149891871
94	0.1147903132
95	0.1145992885
96	0.1142998482
97	0.1141206364
98	0.1139699699
99	0.1137853488
