iter	Passed	Remaining
0	3566	353100
1	5540	271483
2	6933	224192
3	8133	195205
4	9374	178122
5	10615	166314
6	11825	157112
7	13230	152149
8	14525	146867
9	15821	142396
10	17007	137605
11	18152	133118
12	19315	129267
13	20488	125859
14	21914	124184
15	23227	121946
16	24415	119203
17	25580	116531
18	26728	113946
19	27890	111562
20	29034	109225
21	30287	107383
22	31496	105443
23	32758	103735
24	33994	101982
25	35186	100146
26	36343	98260
27	37495	96418
28	38650	94626
29	39793	92851
30	41036	91340
31	42230	89739
32	43370	88055
33	44520	86422
34	46950	87194
35	48216	85717
36	49403	84118
37	50554	82483
38	51728	80908
39	52881	79322
40	54014	77727
41	55205	76235
42	56428	74800
43	57584	73289
44	58741	71795
45	59945	70371
46	61135	68939
47	62296	67487
48	63461	66052
49	64661	64661
50	65791	63211
51	67006	61851
52	68162	60446
53	69300	59034
54	70430	57624
55	71677	56318
56	72832	54943
57	74045	53618
58	75187	52249
59	76363	50908
60	77550	49581
61	78725	48251
62	79900	46925
63	81151	45647
64	82283	44306
65	83512	43021
66	84673	41704
67	85830	40391
68	87054	39111
69	88195	37798
70	89343	36492
71	90503	35195
72	91720	33923
73	92881	32633
74	94156	31385
75	95379	30119
76	96581	28849
77	97753	27571
78	98892	26287
79	100051	25012
80	101213	23741
81	102408	22479
82	103582	21215
83	104839	19969
84	105971	18700
85	107889	17563
86	109597	16376
87	110848	15115
88	112027	13846
89	113168	12574
90	114320	11306
91	115488	10042
92	116625	8778
93	117758	7516
94	118933	6259
95	120065	5002
96	121208	3748
97	122358	2497
98	123494	1247
99	124671	0
